Median_colony_size,mean_cover,BlackMarble_2016_3km_geo.3,ID,value
16.0,0.214178526,20,1010204,6.0
16.0,0.214178526,14,1010205,5.0
16.0,1.290950467,15,1010206,2.0
16.0,1.290950467,17,1010207,5.0
16.0,0.214178526,15,1010208,6.0
16.0,0.214178526,15,1010209,3.0
16.0,1.290950467,15,1010210,2.0
16.0,1.290950467,11,1010211,6.0
16.0,0.214178526,14,1010212,2.0
16.0,1.290950467,14,1010213,3.0
16.0,1.290950467,15,1010214,2.0
16.0,1.290950467,18,1010215,6.0
16.0,1.290950467,15,1010216,5.0
16.0,1.290950467,14,1010217,3.0
16.0,1.290950467,14,1010218,2.0
16.0,1.290950467,18,1010219,8.0
16.0,1.290950467,16,1010220,5.0
16.0,1.290950467,15,1010221,3.0
16.0,1.290950467,15,1010222,2.0
16.0,1.290950467,33,1010223,10.0
16.0,1.290950467,29,1010224,7.0
16.0,1.290950467,14,1010225,3.0
16.0,1.290950467,14,1010226,2.0
16.0,1.290950467,30,1010227,8.0
16.0,1.290950467,16,1010228,5.0
16.0,1.290950467,15,1010229,2.0
16.0,1.290950467,13,1010230,3.0
16.0,1.290950467,26,1010231,8.0
16.0,1.290950467,18,1010232,5.0
16.0,1.290950467,15,1010233,2.0
16.0,1.290950467,16,1010234,2.0
16.0,1.290950467,25,1010235,8.0
16.0,1.290950467,17,1010236,5.0
16.0,1.290950467,22,1010237,3.0
16.0,1.290950467,14,1010238,4.0
16.0,1.290950467,14,1010239,2.0
16.0,1.290950467,15,1010240,2.0
16.0,1.290950467,12,1010241,3.0
16.0,1.290950467,13,1010242,4.0
16.0,1.290950467,14,1010243,3.0
16.0,1.290950467,15,1010244,2.0
16.0,1.290950467,14,1010245,3.0
16.0,1.497125631,14,1010246,3.0
16.0,1.497125631,14,1010247,2.0
16.0,2.315046218,15,1010248,4.0
16.0,2.315046218,15,1010249,4.0
16.0,2.315046218,14,1010250,3.0
16.0,1.497125631,16,1010251,5.0
16.0,1.497125631,15,1010252,2.0
16.0,2.315046218,15,1010253,4.0
16.0,2.315046218,6,1010254,6.0
16.0,2.315046218,43,1010255,9.0
